x,z,translation,rotation
0.0,0.019438529736794198,-1.3498619810063774,-0.6800702799912322
1.0,-0.010716425846828543,-1.3498619810063774,-0.6800702799912322
2.0,-0.03695021401257234,-1.3498619810063774,-0.6800702799912322
3.0,-0.040495066945572644,-1.3498619810063774,-0.6800702799912322
4.0,0.012048600568921226,-1.3498619810063774,-0.6800702799912322
5.0,0.17295274383548756,-1.3498619810063774,-0.6800702799912322
6.0,0.4831273326766431,-1.3498619810063774,-0.6800702799912322
7.0,0.9500449043634891,-1.3498619810063774,-0.6800702799912322
8.0,1.5471004714640926,-1.3498619810063774,-0.6800702799912322
9.0,2.2129938996008227,-1.3498619810063774,-0.6800702799912322
10.0,2.8665425346348923,-1.3498619810063774,-0.6800702799912322
11.0,3.4241639776658146,-1.3498619810063774,-0.6800702799912322
12.0,3.8084734233376616,-1.3498619810063774,-0.6800702799912322
13.0,3.9712858309829815,-1.3498619810063774,-0.6800702799912322
14.0,3.8952873250288644,-1.3498619810063774,-0.6800702799912322
15.0,3.655641416267226,-1.3498619810063774,-0.6800702799912322
16.0,3.1883864450817727,-1.3498619810063774,-0.6800702799912322
17.0,2.6282369130659777,-1.3498619810063774,-0.6800702799912322
18.0,2.0504894189497835,-1.3498619810063774,-0.6800702799912322
19.0,1.3704191389585516,-1.3498619810063774,-0.6800702799912322
20.0,0.6903488589673193,-1.3498619810063774,-0.6800702799912322
21.0,0.010278578976087072,-1.3498619810063774,-0.6800702799912322
22.0,-0.669791701015145,-1.3498619810063774,-0.6800702799912322
23.0,-1.3498619810063777,-1.3498619810063774,-0.6800702799912322
24.0,-2.029932260997609,-1.3498619810063774,-0.6800702799912322
25.0,-2.7100025409888415,-1.3498619810063774,-0.6800702799912322
26.0,-3.3900728209800732,-1.3498619810063774,-0.6800702799912322
27.0,-4.070143100971304,-1.3498619810063774,-0.6800702799912322
28.0,-4.750213380962538,-1.3498619810063774,-0.6800702799912322
