element_sizes,shape_w_off,shape,mapping,mass
1.0,0.05738687515258789,0.00011801719665527344,0.0012049674987792969,0.00037670135498046875
0.5,0.15943145751953125,6.031990051269531e-05,0.0057697296142578125,0.0010485649108886719
0.25,0.5856893062591553,0.00010848045349121094,0.019118547439575195,0.0027647018432617188
0.1,2.495654821395874,0.0006721019744873047,0.06234431266784668,0.007761955261230469
0.05,3.270744562149048,0.003785848617553711,0.23868775367736816,0.032089948654174805
0.025,15.38869333267212,0.013938188552856445,0.9320657253265381,0.11075997352600098
0.02,27.176629543304443,0.021630287170410156,1.4298429489135742,0.16386985778808594
0.015,39.999491691589355,0.03830528259277344,2.54392147064209,0.2890052795410156
0.01,99.14408779144287,0.08380985260009766,5.647905111312866,0.6718931198120117
0.0075,205.764634847641,0.1450328826904297,9.966300964355469,1.1681296825408936
0.005,596.5967130661011,0.31460118293762207,22.281973123550415,2.574007034301758
0.004,1105.5515387058258,0.48553895950317383,34.78505516052246,4.008455753326416
