x,z
0.0,-0.0029136260646446793
1.0,0.006146745204186375
2.0,-0.00011946207998592164
3.0,-0.01245829080408181
4.0,0.0067448887311656455
5.0,0.12909746650023793
6.0,0.426556798438274
7.0,0.917152171064865
8.0,1.5563116775591954
9.0,2.2449334130528484
10.0,2.879644290293702
11.0,3.4003960172306464
12.0,3.7754520044116355
13.0,3.9846058415326433
14.0,3.984831226232964
15.0,3.7171339860968398
16.0,3.191735326942683
17.0,2.5924369269487357
18.0,2.0290735184472704
19.0,1.3514141065382974
20.0,0.6737546946292774
21.0,-0.003904717280017843
22.0,-0.6815641291890453
23.0,-1.3592235410981912
24.0,-2.0368829530072925
25.0,-2.7145423649164657
26.0,-3.3922017768255897
27.0,-4.069861188734588
28.0,-4.747520600643874
