x,z
0.0,0.0038579199562447913
1.0,0.011089136761312908
2.0,-0.00033923236876377307
3.0,-0.02128948615103018
4.0,-0.005175965034427989
5.0,0.12148734469064623
6.0,0.43119480898775536
7.0,0.9348213399524217
8.0,1.5723912111938583
9.0,2.242750761647924
10.0,2.8575378408837
11.0,3.3789723447098194
12.0,3.7779705767515908
13.0,4.011708651789603
14.0,4.006647265329732
15.0,3.698004828493323
16.0,3.146070689556385
17.0,2.5644126340322106
18.0,2.0468757513363083
19.0,1.3665088230777773
20.0,0.6861418948192141
21.0,0.0057749665603691325
22.0,-0.6745919616982096
23.0,-1.3549588899569074
24.0,-2.0353258182155582
25.0,-2.715692746474279
26.0,-3.3960596747329497
27.0,-4.076426602991485
28.0,-4.7567935312503264
