x,z
0.0,-0.0033968134419896682
1.0,0.006299320670882693
2.0,0.0004237954459571125
3.0,-0.01217009803885956
4.0,0.006613069304927201
5.0,0.1285328765770311
6.0,0.42604864085785726
7.0,0.9174602229781434
8.0,1.5572038171989557
9.0,2.2454226777411814
10.0,2.8789864986531164
11.0,3.399211842755117
12.0,3.775142347924848
13.0,3.985749236211518
14.0,3.9862454294559213
15.0,3.716238793033429
16.0,3.188854686260491
17.0,2.5903086621566853
18.0,2.029801303656713
19.0,1.3520473340378192
20.0,0.6742933644188808
21.0,-0.0034606052003347022
22.0,-0.6812145748192822
23.0,-1.3589685444383466
24.0,-2.0367225140573697
25.0,-2.714476483676462
26.0,-3.392230453295507
27.0,-4.06998442291442
28.0,-4.7477383925336305
