x,z
0.0,-0.004468677604956658
1.0,0.006766683128397116
2.0,0.001720768839442298
3.0,-0.011650809394000055
4.0,0.006082225559195145
5.0,0.12710786361419218
6.0,0.4250298596860216
7.0,0.9185241492172499
8.0,1.5594650945524802
9.0,2.2463478635059335
10.0,2.8769962866074446
11.0,3.396221741205396
12.0,3.774705108382445
13.0,3.9889887222709555
14.0,3.9897059195443174
15.0,3.713800005949851
16.0,3.181728912568344
17.0,2.585466626166517
18.0,2.0323285141666645
19.0,1.3541951687690084
20.0,0.6760618233713078
21.0,-0.002071522026671436
22.0,-0.680204867424383
23.0,-1.358338212822213
24.0,-2.036471558219994
25.0,-2.714604903617848
26.0,-3.392738249015658
27.0,-4.07087159441333
28.0,-4.749004939811305
