x,z
0.0,-0.0038974496959591313
1.0,0.006489937006460759
2.0,0.0010086978848096492
3.0,-0.011902161252625505
4.0,0.006416723132769114
5.0,0.12790700438390334
6.0,0.4255528996911453
7.0,0.9178732840470742
8.0,1.5581923289033768
9.0,2.2458848513306706
10.0,2.8781765861053095
11.0,3.3979044929935087
12.0,3.7748880824804796
13.0,3.9871007361568327
14.0,3.9877772555976705
15.0,3.7152263808521457
16.0,3.185753073586307
17.0,2.588146556159522
18.0,2.0308347536495863
19.0,1.3529317791181028
20.0,0.6750288045865682
21.0,-0.0028741699452406377
22.0,-0.6807771444767823
23.0,-1.3586801190084408
24.0,-2.036583093540055
25.0,-2.7144860680717398
26.0,-3.3923890426033827
27.0,-4.070292017134886
28.0,-4.748194991666692
