iteration,objective,step_size
0,374.0,0.0013545630115045378
1,248.65442351899702,0.008983056733565052
2,164.75394167834688,0.001353418892717599
3,109.17093050011223,0.009013717156027497
4,72.22751433050054,0.001352274789047717
5,47.789751288542256,0.009085708315257898
6,31.508906985353462,0.0013511306702607782
7,20.775011552800457,0.009115931735308634
8,13.677280880269256,0.001350423570645123
9,9.004838123651115,0.00915029460438901
10,5.918467348888169,0.0013492794518581842
11,3.890111087137349,0.009221578565722994
12,2.5479575824390714,0.0013481353522158531
13,1.6689156341613127,0.00925664848537728
14,1.091233738937495,0.0013474282513987888
15,0.7135424877097705,0.009288453008561544
16,0.4658309195580761,0.0013467211461774212
17,0.3041265791801154,0.00932352298403592
18,0.19820248994748083,0.0013455770374936366
19,0.12918040822485177,0.009399216599912058
20,0.08387698705864627,0.0013444329098803028
21,0.05446383145709072,0.009434723471480059
22,0.03530176781550906,0.0013432887967456462
23,0.022882303517976682,0.009511998130968072
24,0.014774872338761477,0.0013418745862563415
25,0.00954054056162475,0.009576584435291595
26,0.006140448163253908,0.0013407304659200218
27,0.003952410533106498,0.009629189361476307
28,0.002537235898438257,0.0013395863600623784
29,0.0016288317041581752,0.009694482730655147
30,0.001042223153824629,0.0013384422569555263
31,0.0006668952688580683,0.009748668789221156
32,0.00042555616467737276,0.0013370280355561974
33,0.00027156926479397704,0.00984532969269366
34,0.00017245108590939142,0.001335446913812309
35,0.00010951632549047748,0.0099203160095199
36,6.928216358198786e-05,0.0013340327013147257
37,4.3831295689367984e-05,0.010001293088583631
38,2.761452502741495e-05,0.0013328885793536746
39,1.73987710764087e-05,0.010049051531709312
40,1.0934977134849612e-05,0.0013317444943872904
41,6.872887788451283e-06,0.010131609714864143
42,4.301348623151039e-06,0.001330600372426239
43,2.6921111468778887e-06,0.010181219377454122
44,1.6805441593655515e-06,0.001329893277609428
45,1.0491442389168829e-06,0.010214438067616306
46,6.538061847692827e-07,
