iteration,objective,step_size
0,175.91916651660034,0.8811463451759343
1,4.497531941084466,0.9988137589549275
2,0.23388256719037837,0.9988137589549275
3,0.047309978350749245,0.9988137589549275
4,0.025751953554579057,0.9988137589549275
5,0.019917922213288766,0.9988137589549275
6,0.016690503048619264,0.9988137589549275
7,0.014456387097222254,0.9988137589549275
8,0.012794053961331547,0.9988137589549275
9,0.011501478218708946,0.9988137589549275
10,0.010460195096155464,0.9988137589549275
11,0.00959631443611888,
