x,z,translation,rotation
0.0,-0.06834069909819318,-1.3364007688661632,-0.6644814111636486
1.0,-0.07200563068797396,-1.3364007688661632,-0.6644814111636486
2.0,-0.06629938790758433,-1.3364007688661632,-0.6644814111636486
3.0,-0.02976469245847163,-1.3364007688661632,-0.6644814111636486
4.0,0.06956236088602968,-1.3364007688661632,-0.6644814111636486
5.0,0.27342580047001896,-1.3364007688661632,-0.6644814111636486
6.0,0.606972578213894,-1.3364007688661632,-0.6644814111636486
7.0,1.070551249454891,-1.3364007688661632,-0.6644814111636486
8.0,1.6355028026507643,-1.3364007688661632,-0.6644814111636486
9.0,2.2451852250368276,-1.3364007688661632,-0.6644814111636486
10.0,2.827610640441424,-1.3364007688661632,-0.6644814111636486
11.0,3.312009366776059,-1.3364007688661632,-0.6644814111636486
12.0,3.6426608614897162,-1.3364007688661632,-0.6644814111636486
13.0,3.7933399462340303,-1.3364007688661632,-0.6644814111636486
14.0,3.767350626651372,-1.3364007688661632,-0.6644814111636486
15.0,3.67890135369224,-1.3364007688661632,-0.6644814111636486
16.0,3.3026150407336647,-1.3364007688661632,-0.6644814111636486
17.0,2.724157550209787,-1.3364007688661632,-0.6644814111636486
18.0,1.9860062869520791,-1.3364007688661632,-0.6644814111636486
19.0,1.3215248757884313,-1.3364007688661632,-0.6644814111636486
20.0,0.6570434646247827,-1.3364007688661632,-0.6644814111636486
21.0,-0.007437946538865842,-1.3364007688661632,-0.6644814111636486
22.0,-0.6719193577025147,-1.3364007688661632,-0.6644814111636486
23.0,-1.3364007688661632,-1.3364007688661632,-0.6644814111636486
24.0,-2.0008821800298113,-1.3364007688661632,-0.6644814111636486
25.0,-2.66536359119346,-1.3364007688661632,-0.6644814111636486
26.0,-3.329845002357109,-1.3364007688661632,-0.6644814111636486
27.0,-3.9943264135207572,-1.3364007688661632,-0.6644814111636486
28.0,-4.658807824684405,-1.3364007688661632,-0.6644814111636486
