x,z,translation,rotation
0.0,-0.000517809592541691,-1.3604294822196692,-0.6767960123698378
1.0,0.00585444641654936,-1.3604294822196692,-0.6767960123698378
2.0,-0.0025892992191292926,-1.3604294822196692,-0.6767960123698378
3.0,-0.014343953077649681,-1.3604294822196692,-0.6767960123698378
4.0,0.006563368324280014,-1.3604294822196692,-0.6767960123698378
5.0,0.1315231768488164,-1.3604294822196692,-0.6767960123698378
6.0,0.4297961745938439,-1.3604294822196692,-0.6767960123698378
7.0,0.9167794560890544,-1.3604294822196692,-0.6767960123698378
8.0,1.5522095773242415,-1.3604294822196692,-0.6767960123698378
9.0,2.24153979966339,-1.3604294822196692,-0.6767960123698378
10.0,2.8816065633011307,-1.3604294822196692,-0.6767960123698378
11.0,3.4060135057871523,-1.3604294822196692,-0.6767960123698378
12.0,3.7781414636258424,-1.3604294822196692,-0.6767960123698378
13.0,3.980370762700767,-1.3604294822196692,-0.6767960123698378
14.0,3.9777041169481904,-1.3604294822196692,-0.6767960123698378
15.0,3.718779269100854,-1.3604294822196692,-0.6767960123698378
16.0,3.2033889737472157,-1.3604294822196692,-0.6767960123698378
17.0,2.601120030835929,-1.3604294822196692,-0.6767960123698378
18.0,2.0235505796294926,-1.3604294822196692,-0.6767960123698378
19.0,1.3467545672597063,-1.3604294822196692,-0.6767960123698378
20.0,0.6699585548898387,-1.3604294822196692,-0.6767960123698378
21.0,-0.006837457479982929,-1.3604294822196692,-0.6767960123698378
22.0,-0.6836334698498202,-1.3604294822196692,-0.6767960123698378
23.0,-1.3604294822196725,-1.3604294822196692,-0.6767960123698378
24.0,-2.037225494589501,-1.3604294822196692,-0.6767960123698378
25.0,-2.7140215069593245,-1.3604294822196692,-0.6767960123698378
26.0,-3.3908175193291936,-1.3604294822196692,-0.6767960123698378
27.0,-4.067613531699034,-1.3604294822196692,-0.6767960123698378
28.0,-4.744409544068895,-1.3604294822196692,-0.6767960123698378
