x,z
0.0,0.027475660571158675
1.0,-0.00238712142127243
2.0,-0.03139857172706286
3.0,-0.04091266771682888
4.0,0.0036821013929111378
5.0,0.15665771069080106
6.0,0.46322804960542
7.0,0.931935345427859
8.0,1.534453869036737
9.0,2.2067280613719658
10.0,2.86590297752105
11.0,3.4293248420131026
12.0,3.8213404786431284
13.0,3.9952585246266477
14.0,3.9332238505624386
15.0,3.6792484172949975
16.0,3.1934586091748476
17.0,2.6111172133851728
18.0,2.0106693160856195
19.0,1.3365495986107425
20.0,0.6624298811358642
21.0,-0.011689836339013562
22.0,-0.6858095538138912
23.0,-1.359929271288768
24.0,-2.0340489887636464
25.0,-2.708168706238523
26.0,-3.382288423713398
27.0,-4.056408141188276
28.0,-4.730527858663151
