iteration,objective,step_size
0,175.91916651660034,0.3028860049754606
1,58.27438144227796,0.6385431843745424
2,17.14117320535548,0.2979718571306901
3,5.274734593261496,0.6446857090154685
4,1.6916920083890705,0.30090548111313453
5,0.5875459847393903,0.6606548584965684
6,0.2200905038571943,0.304742958703043
7,0.09420044361216975,0.6812829717950346
8,0.04692678184662431,0.3101946112035646
9,0.028471960069167603,0.719355742111585
10,0.020211556375453254,0.321150478193668
11,0.01623134454236516,0.7895711184588972
12,0.01381737127545851,0.3335477073073807
13,0.012227176141288279,0.8380492010528782
14,0.010984835779350732,0.33817954793701077
15,0.00998386128789057,
