x,z,translation,rotation
0.0,0.02620321741550128,-1.357313713771748,-0.6780557071406015
1.0,-0.00458329727240318,-1.357313713771748,-0.6780557071406015
2.0,-0.0333157384348394,-1.357313713771748,-0.6780557071406015
3.0,-0.04137278874599275,-1.357313713771748,-0.6780557071406015
4.0,0.005372021573219794,-1.357313713771748,-0.6780557071406015
5.0,0.16061895423871186,-1.357313713771748,-0.6780557071406015
6.0,0.4681566896171406,-1.357313713771748,-0.6780557071406015
7.0,0.9362327535216944,-1.357313713771748,-0.6780557071406015
8.0,1.537260114093911,-1.357313713771748,-0.6780557071406015
9.0,2.208225415402752,-1.357313713771748,-0.6780557071406015
10.0,2.866803902132691,-1.357313713771748,-0.6780557071406015
11.0,3.4297754152160507,-1.357313713771748,-0.6780557071406015
12.0,3.820553665671025,-1.357313713771748,-0.6780557071406015
13.0,3.9916198536038805,-1.357313713771748,-0.6780557071406015
14.0,3.9251510617187715,-1.357313713771748,-0.6780557071406015
15.0,3.678128713689519,-1.357313713771748,-0.6780557071406015
16.0,3.1997355698091883,-1.357313713771748,-0.6780557071406015
17.0,2.62548598801807,-1.357313713771748,-0.6780557071406015
18.0,2.0329648219312593,-1.357313713771748,-0.6780557071406015
19.0,1.3549091147906582,-1.357313713771748,-0.6780557071406015
20.0,0.6768534076500564,-1.357313713771748,-0.6780557071406015
21.0,-0.001202299490544942,-1.357313713771748,-0.6780557071406015
22.0,-0.6792580066311462,-1.357313713771748,-0.6780557071406015
23.0,-1.3573137137717481,-1.357313713771748,-0.6780557071406015
24.0,-2.0353694209123487,-1.357313713771748,-0.6780557071406015
25.0,-2.7134251280529504,-1.357313713771748,-0.6780557071406015
26.0,-3.3914808351935517,-1.357313713771748,-0.6780557071406015
27.0,-4.069536542334151,-1.357313713771748,-0.6780557071406015
28.0,-4.747592249474755,-1.357313713771748,-0.6780557071406015
