x,z
-12.0,-2.006539337252946
-11.5,-1.7570602047154573
-11.0,-1.5075810721779446
-10.5,-1.2581019396404476
-10.0,-1.0086228071029457
-9.5,-0.759143674565438
-9.0,-0.5096645420279389
-8.5,-0.26018540949041347
-8.0,-0.01070627695291964
-7.5,0.238772855584589
-7.0,0.48825198812209236
-6.5,0.7377311206595873
-6.0,0.9872102531971065
-5.5,1.3470221382513055
-5.0,1.5807322667749726
-4.5,1.7839351908691077
-4.0,1.958715941572851
-3.5,2.1421047660512853
-3.0,2.21490470457525
-2.5,2.164279971596684
-2.0,2.027826681834131
-1.5,1.8770662838879386
-1.0,1.79080918024062
-0.5,1.8213082908409655
0.0,1.9946025750747904
0.5,2.3191474092815167
1.0,2.7868428449921883
1.5,3.372062742513546
2.0,4.023160142326798
2.5,4.66135750317857
3.0,5.212024677025913
3.5,5.6344929362308775
4.0,5.938933854071953
4.5,6.274865779614893
5.0,6.577711281645995
5.5,6.845821078414221
6.0,6.974709434097208
6.5,7.224188566634728
7.0,7.473667699172228
7.5,7.723146831709716
8.0,7.972625964247239
8.5,8.22210509678473
9.0,8.471584229322229
9.5,8.721063361859748
10.0,8.970542494397257
10.5,9.22002162693477
11.0,9.469500759472256
11.5,9.71897989200976
12.0,9.968459024547277
