x,z,translation,rotation
0.0,-0.017059556973688453,-1.304134787420572,-0.7192614337229172
1.0,-0.023998684424022962,-1.304134787420572,-0.7192614337229172
2.0,-0.023316374911070623,-1.304134787420572,-0.7192614337229172
3.0,0.003216542484497784,-1.304134787420572,-0.7192614337229172
4.0,0.08365862609685577,-1.304134787420572,-0.7192614337229172
5.0,0.25484078522665443,-1.304134787420572,-0.7192614337229172
6.0,0.5403665272344188,-1.304134787420572,-0.7192614337229172
7.0,0.9439493261134291,-1.304134787420572,-0.7192614337229172
8.0,1.4480490138219408,-1.304134787420572,-0.7192614337229172
9.0,2.0078112410851965,-1.304134787420572,-0.7192614337229172
10.0,2.553796019795397,-1.304134787420572,-0.7192614337229172
11.0,2.997930594701246,-1.304134787420572,-0.7192614337229172
12.0,3.238675179604919,-1.304134787420572,-0.7192614337229172
13.0,3.205121691822933,-1.304134787420572,-0.7192614337229172
14.0,2.8840959543901317,-1.304134787420572,-0.7192614337229172
15.0,2.8025802092326453,-1.304134787420572,-0.7192614337229172
16.0,2.650107726328317,-1.304134787420572,-0.7192614337229172
17.0,2.4985416961267264,-1.304134787420572,-0.7192614337229172
18.0,2.292172381193998,-1.304134787420572,-0.7192614337229172
19.0,1.572910947471114,-1.304134787420572,-0.7192614337229172
20.0,0.8536495137481837,-1.304134787420572,-0.7192614337229172
21.0,0.13438808002527647,-1.304134787420572,-0.7192614337229172
22.0,-0.5848733536976427,-1.304134787420572,-0.7192614337229172
23.0,-1.3041347874205753,-1.304134787420572,-0.7192614337229172
24.0,-2.023396221143487,-1.304134787420572,-0.7192614337229172
25.0,-2.7426576548663983,-1.304134787420572,-0.7192614337229172
26.0,-3.4619190885893323,-1.304134787420572,-0.7192614337229172
27.0,-4.181180522312271,-1.304134787420572,-0.7192614337229172
28.0,-4.900441956035188,-1.304134787420572,-0.7192614337229172
