x,z
-12.0,-3.6882852744191155
-11.5,-3.4299444643501804
-11.0,-3.1716036542812205
-10.5,-2.9132628442122837
-10.0,-2.6549220341433433
-9.5,-2.3965812240743922
-9.0,-2.13824041400545
-8.5,-1.8798996039364848
-8.0,-1.6215587938675498
-7.5,-1.3632179837985952
-7.0,-1.1048771737296477
-6.5,-0.8465363636607126
-6.0,-0.5881955535917545
-5.5,0.23835468672407423
-5.0,1.0370233114551652
-4.5,1.7978375796512065
-4.0,2.5009834237957413
-3.5,2.548425659231789
-3.0,2.572414485974619
-2.5,2.570674457098021
-2.0,2.5540832268410156
-1.5,2.546524867127123
-1.0,2.5816424825645345
-0.5,2.692447293172968
0.0,2.902969990865884
0.5,3.2221540106776025
1.0,3.640842910829903
1.5,4.135083929862651
2.0,4.67243543532676
2.5,5.220478093626735
3.0,5.757427955909276
3.5,6.27469993565812
4.0,6.776635265275814
4.5,6.5993273920042785
5.0,6.338987923131625
5.5,6.008354501824396
6.0,5.611983888062976
6.5,5.8703246981319275
7.0,6.128665508200873
7.5,6.387006318269826
8.0,6.645347128338763
8.5,6.903687938407714
9.0,7.162028748476651
9.5,7.420369558545602
10.0,7.678710368614556
10.5,7.937051178683506
11.0,8.195391988752442
11.5,8.453732798821395
12.0,8.712073608890343
