iteration,objective,step_size
0,1292.5,0.06614545451662004
1,480.29825420664025,0.19231661609111278
2,215.58623784845608,0.06809617173015474
3,132.07488609626097,0.2276968841822035
4,90.8422216589693,0.07175047451992429
5,67.97428515625894,0.23829241784561672
6,51.39473331418181,0.07205824068068784
7,39.26525948136847,0.24022740210124924
8,30.16949647548536,0.07217042216086834
9,23.32780818462206,0.2413777520540314
10,18.122619716755974,0.0722441029087609
11,14.15482507226423,0.2422132982899441
12,11.106295712134798,0.07230371129319649
13,8.760425579228171,0.2429339769559153
14,6.943350730945462,0.07235897147988928
15,5.533785056852849,0.24365900265410667
16,4.433403412948774,0.07241589235099191
17,3.5731153824377735,0.24439375166874366
18,2.8961887160599153,0.07247818841973455
19,2.3626397830128836,0.24518811014205144
20,1.9391816266341042,0.0725448327161267
21,1.6024816708993004,0.24610603533686168
22,1.3326966241353722,0.07261582570580456
23,1.116124434349318,0.2471204083541732
24,0.9408015445438217,0.07269385445113177
25,0.7985805133498591,0.2482128096122043
26,0.6821608169460782,0.07277891917932419
27,0.5866464840035832,0.24937019385531223
28,0.5075254736296169,0.07286833187729382
29,0.44182696584309494,0.2505845001258713
30,0.3867246670261084,0.07295774478659917
31,0.3403984317950911,0.25183027154697457
32,0.3010547443568927,0.07304715773412615
33,0.2675648725978049,0.25296923582923436
34,0.23878345516817154,0.0731322224314851
35,0.21398994556882878,0.25408440663784504
36,0.1924371430833866,0.07320590248837913
37,0.17366436903449053,0.25511988733438884
38,0.1571778819592574,0.07326985962580446
39,0.14267560572885785,0.2560080059674828
40,0.12982749507971492,0.07332511994749903
41,0.11842870193818573,0.2567611755064205
42,0.10825434026394151,0.07336899572636801
43,0.09916225113126892,0.2574450141638391
44,0.09099491759545073,0.07340314857052854
45,0.08365264194882276,0.2580052865169339
46,0.07702372244575424,0.07343295294330325
47,0.07103504847601995,0.2584252358243688
48,0.06560634413470952,0.07345572123239746
49,0.060682034350468275,0.25885925487262024
50,0.056201634078633864,0.0734697930743306
51,0.05212396983134996,0.2592651307482514
52,0.04840293492456762,0.07348117713460375
53,0.045006879142583285,0.25958863050046094
54,0.041900553456793624,0.07349256132866558
55,0.03905868994268758,0.2598779769487206
56,0.03645361362428989,0.07350394562475585
57,0.034065181282901806,0.260114750716628
58,0.031871576539877,0.07351366881694082
59,0.029856406523875046,0.260397061466339
60,0.02800180847844424,0.07352236577234891
61,0.026294879132135792,0.2606354964184113
62,0.024721260205664775,0.07352940162263855
63,0.023270257206700846,0.2609476115307963
64,0.02192986051936734,0.07353643730859244
65,0.02069166328943097,0.26119576856819904
66,0.01954596057397898,0.0735434732102712
67,0.018485642824591326,0.2615236135506727
68,0.01750247435838091,0.07355217001151196
69,0.01659085562102228,0.2617490029319523
70,0.01574418440694834,0.07356355426267455
71,0.014957589473328477,0.2620356633724965
72,0.014225446708997277,0.07357327750913831
73,0.013543885552075067,0.2623293594727272
74,0.012908193856184153,0.07358466174356165
75,0.012315189472136667,0.26259593371247664
76,0.011760975514388565,0.0735960460310506
77,0.011242870243198404,0.26290804734579787
78,0.010757553664435508,0.07360743023221422
79,0.01030287166613776,0.26319036280598906
80,0.009876071201262208,
