iteration,objective,step_size
0,374.0,0.21095285243989767
1,175.8620689666056,0.37076920118723966
2,82.6934319826529,0.21095214514001215
3,38.883938171932414,0.3707707817271211
4,18.283862440457593,0.21095170870928426
5,8.597387693747011,0.3707726325024301
6,4.042623906369313,0.2109510016996682
7,1.9009061391171014,0.37077448506454563
8,0.8938327223120903,0.21095029393031403
9,0.4202935521607955,0.3707774787887015
10,0.19762717918438427,0.21094914972995935
11,0.09292688416105489,0.370781181995348
12,0.04369513365968081,0.21094800576439102
13,0.020545930286959727,0.37078532092600697
14,0.009660852497623669,0.21094686165373452
15,0.0045426108689670865,0.37078788003057955
16,0.0021359634094987373,0.2109457181574554
17,0.00100434367624671,0.37079201985509724
18,0.00047224584561080327,0.2109443035790387
19,0.00022205187911783684,0.37079686635245546
20,0.00010440889761406488,0.21094315984810605
21,4.909316611033214e-05,0.3707987164448705
22,2.308356350448065e-05,0.21094245222400854
23,1.0853892728111657e-05,0.3708017117446243
24,5.103471673834249e-06,0.21094130787891363
25,2.3996428046711293e-06,0.3708058506752832
26,1.128299875203091e-06,0.21094016429279658
27,5.305214717399828e-07,
