iteration,objective,step_size,scaling_calc_time
0,101.08585,0.49940687947746376,0.015280485153198242
1,20.366331716089018,0.49940687947746376,0.015313148498535156
2,4.171202793386249,0.49940687947746376,0.015293121337890625
3,0.9932483808365726,0.49940687947746376,0.015298128128051758
4,0.3016009890915001,0.49940687947746376,0.01534891128540039
5,0.1296042543799389,0.49940687947746376,0.018397808074951172
6,0.07745960921242206,0.49940687947746376,0.015450716018676758
7,0.056541020819451504,0.49940687947746376,0.015258550643920898
8,0.045394036408216216,0.49940687947746376,0.015073776245117188
9,0.03815708103406121,0.49940687947746376,0.01527547836303711
10,0.03291314508679968,0.49940687947746376,0.015065193176269531
11,0.028877911580801892,0.49940687947746376,0.015012979507446289
12,0.025656308760396436,0.49940687947746376,0.015354394912719727
13,0.023017483494267407,0.49940687947746376,0.015207052230834961
14,0.020813412938300156,0.49940687947746376,0.015660762786865234
15,0.01894344802788233,0.49940687947746376,0.015340328216552734
16,0.017336321576086503,0.49940687947746376,0.015291213989257812
17,0.015939996628477043,0.49940687947746376,0.015354633331298828
18,0.01471552089255215,0.49940687947746376,0.01531219482421875
19,0.013633120120614958,0.49940687947746376,0.015269279479980469
20,0.012669621899800367,0.49940687947746376,0.015378236770629883
21,0.01180670580395031,0.49940687947746376,0.01530766487121582
22,0.011029684847332697,0.49940687947746376,0.015347719192504883
23,0.010326638405668652,0.49940687947746376,0.015481948852539062
24,0.009687783387125455,,
