x,z,translation,rotation
0.0,0.010180865033332168,-1.375695779879913,-0.6706434614325101
1.0,-0.020265721494091518,-1.375695779879913,-0.6706434614325101
2.0,-0.043689323363518995,-1.375695779879913,-0.6706434614325101
3.0,-0.040820181553792224,-1.375695779879913,-0.6706434614325101
4.0,0.021154007951500742,-1.375695779879913,-0.6706434614325101
5.0,0.19304018741837767,-1.375695779879913,-0.6706434614325101
6.0,0.5121863296044413,-1.375695779879913,-0.6706434614325101
7.0,0.9836340909420527,-1.375695779879913,-0.6706434614325101
8.0,1.5780275726712842,-1.375695779879913,-0.6706434614325101
9.0,2.232181300042496,-1.375695779879913,-0.6706434614325101
10.0,2.8644241276741313,-1.375695779879913,-0.6706434614325101
11.0,3.3939247220751088,-1.375695779879913,-0.6706434614325101
12.0,3.7560472742940343,-1.375695779879913,-0.6706434614325101
13.0,3.919592280952837,-1.375695779879913,-0.6706434614325101
14.0,3.886742708470039,-1.375695779879913,-0.6706434614325101
15.0,3.749968828120466,-1.375695779879913,-0.6706434614325101
16.0,3.3318160079613173,-1.375695779879913,-0.6706434614325101
17.0,2.726558027342802,-1.375695779879913,-0.6706434614325101
18.0,1.977521527282637,-1.375695779879913,-0.6706434614325101
19.0,1.3068780658501276,-1.375695779879913,-0.6706434614325101
20.0,0.6362346044176175,-1.375695779879913,-0.6706434614325101
21.0,-0.03440885701489261,-1.375695779879913,-0.6706434614325101
22.0,-0.7050523184474029,-1.375695779879913,-0.6706434614325101
23.0,-1.375695779879913,-1.375695779879913,-0.6706434614325101
24.0,-2.0463392413124226,-1.375695779879913,-0.6706434614325101
25.0,-2.7169827027449323,-1.375695779879913,-0.6706434614325101
26.0,-3.3876261641774432,-1.375695779879913,-0.6706434614325101
27.0,-4.058269625609953,-1.375695779879913,-0.6706434614325101
28.0,-4.728913087042462,-1.375695779879913,-0.6706434614325101
