x,z
0.0,-0.0002919950330167886
1.0,0.009917681673100996
2.0,0.0015854781133973956
3.0,-0.01728114682766793
4.0,-0.0014046195610363079
5.0,0.12256769980456345
6.0,0.4283689291077694
7.0,0.9297928219344821
8.0,1.569067755819699
9.0,2.243992727869029
10.0,2.8624446941725066
11.0,3.3831626078142563
12.0,3.77759993844594
13.0,4.007162134299045
14.0,4.002994133765257
15.0,3.700307987580292
16.0,3.151883026053834
17.0,2.5677811332655964
18.0,2.0443534617265366
19.0,1.364391355175037
20.0,0.6844292486234995
21.0,0.004467142071683278
22.0,-0.6754949644798689
23.0,-1.3554570710315388
24.0,-2.0354191775831576
25.0,-2.715381284134857
26.0,-3.395343390686499
27.0,-4.075305497238007
28.0,-4.755267603789823
