x,z
0.0,0.02493879316772081
1.0,-0.0019422331564995128
2.0,-0.030237260381791274
3.0,-0.04144764732513026
4.0,-0.0005177265994118323
5.0,0.14746353336133117
6.0,0.4518970579562366
7.0,0.9242285361007112
8.0,1.5350436885828629
9.0,2.2157944624307655
10.0,2.8770201154402666
11.0,3.4311509931817716
12.0,3.805614751969936
13.0,3.9639887970899044
14.0,3.9047458010563307
15.0,3.723520908861552
16.0,3.2819385741600824
17.0,2.6842491893963736
18.0,1.9706704069057652
19.0,1.3026752070271452
20.0,0.6346800071485239
21.0,-0.033315192730096095
22.0,-0.7013103926087165
23.0,-1.3693055924873372
24.0,-2.0373007923659574
25.0,-2.705295992244578
26.0,-3.3732911921231983
27.0,-4.04128639200182
28.0,-4.709281591880439
