iteration,objective,step_size
0,1292.5,0.36395857492035255
1,142.7616755231847,0.44943814101439117
2,47.68517737333092,0.4159462955545444
3,20.38417171182339,0.4571368893952502
4,9.555468209562166,0.4279121876638405
5,4.794905276458446,0.4656430433575876
6,2.569418254838116,0.43657005526742
7,1.4772713939347832,0.4768259686731401
8,0.9101612808704802,0.4475075051420748
9,0.5985042809548057,0.4906374384507737
10,0.4155129126660226,0.45937426949717897
11,0.30140439353198245,0.5032644030999562
12,0.22585008999223447,0.4682987052141976
13,0.17351376656547415,0.5113137683916948
14,0.1358512075918789,0.47334614388915175
15,0.10805474799570063,0.5156914361211615
16,0.08712029986588339,0.4761973904240955
17,0.07113582454309278,0.5184478959022865
18,0.0587824422986601,0.47828139599113484
19,0.0491439478325401,0.5207870954564847
20,0.04155017089399727,0.4802575689673754
21,0.03551487076973993,0.5231788676350799
22,0.030671628255744557,0.4823328773106796
23,0.02674964934559459,0.5257055893885304
24,0.023541400435742765,0.48450194819216896
25,0.0208922284988932,0.5282788746659647
26,0.018682102797464496,0.48664556268982617
27,0.01682107522660179,0.5307486753954678
28,0.01523849687156191,0.4886358080623202
29,0.013881085983671243,0.5329686574070007
30,0.012706457538788197,0.4903708590889002
31,0.011682355016858775,0.5348527299581768
32,0.01078275977188735,0.49181055244445304
33,0.009987619023062272,
