x,z
-12.0,-2.0091620777471575
-11.5,-1.7592562152897124
-11.0,-1.509350352832269
-10.5,-1.2594444903748234
-10.0,-1.0095386279173797
-9.5,-0.7596327654599349
-9.0,-0.5097269030024912
-8.5,-0.25982104054504584
-8.0,-0.009915178087602172
-7.5,0.2399906843698425
-7.0,0.4898965468272874
-6.5,0.7398024092847311
-6.0,0.9897082717421755
-5.5,1.2826429449354915
-5.0,1.5232514853370955
-4.5,1.7611176500279078
-4.0,1.9619604425296548
-3.5,2.155039023292676
-3.0,2.2117169720572427
-2.5,2.142401777356787
-2.0,1.996956797453121
-1.5,1.8522483035714057
-1.0,1.7798069854965495
-0.5,1.823771043432029
0.0,2.0028683003250354
0.5,2.320024180604875
1.0,2.771990413189141
1.5,3.342349964170302
2.0,3.9934280714270294
2.5,4.657563504217768
3.0,5.238500027596087
3.5,5.6648083641444105
4.0,5.905658700086383
4.5,6.260694673410321
5.0,6.558793324256025
5.5,6.838513055390379
6.0,6.987448970720838
6.5,7.237354833178287
7.0,7.487260695635728
7.5,7.737166558093175
8.0,7.987072420550617
8.5,8.236978283008062
9.0,8.486884145465512
9.5,8.736790007922952
10.0,8.986695870380396
10.5,9.236601732837842
11.0,9.486507595295285
11.5,9.736413457752725
12.0,9.986319320210177
