iteration,objective,step_size,scaling_calc_time
0,101.08585,0.49940687947746376,0.06687116622924805
1,26.106385131373035,0.49940687947746376,0.009115219116210938
2,6.563695013607714,0.49940687947746376,0.05877685546875
3,1.9048550176694294,0.49940687947746376,0.0690305233001709
4,0.7220685054818219,0.49940687947746376,0.06078982353210449
5,0.3797662316844372,0.49940687947746376,0.056174516677856445
6,0.256599308474768,0.49940687947746376,0.03003406524658203
7,0.1981249825389116,0.49940687947746376,0.055977821350097656
8,0.16285862934919082,0.49940687947746376,0.05399274826049805
9,0.13818661746175964,0.49940687947746376,0.057440757751464844
10,0.119500731218906,0.49940687947746376,0.06193065643310547
11,0.10471355327685274,0.49940687947746376,0.0597991943359375
12,0.09268479731789396,0.49940687947746376,0.057662248611450195
13,0.08270625469106999,0.49940687947746376,0.038726806640625
14,0.07430188885659449,0.49940687947746376,0.04997420310974121
15,0.06713538692583168,0.49940687947746376,0.05007505416870117
16,0.06096085104916821,0.49940687947746376,0.0603337287902832
17,0.05559376001095091,0.49940687947746376,0.03758430480957031
18,0.050892711202919744,0.49940687947746376,0.0541689395904541
19,0.04674741279355135,0.49940687947746376,0.0573427677154541
20,0.04307051862441198,0.49940687947746376,0.06917214393615723
21,0.03979192653216318,0.49940687947746376,0.0485539436340332
22,0.0368547072093694,0.49940687947746376,0.05899357795715332
23,0.03421214081450678,0.49940687947746376,0.06687068939208984
24,0.031825523031666754,0.49940687947746376,0.06005120277404785
25,0.02966251604933804,0.49940687947746376,0.06250286102294922
26,0.027695892145884488,0.49940687947746376,0.05339407920837402
27,0.025902564548933447,0.49940687947746376,0.10438060760498047
28,0.024262831457720315,0.49940687947746376,0.06446051597595215
29,0.02275978026556176,0.49940687947746376,0.06218218803405762
30,0.021378813592059016,0.49940687947746376,0.05373644828796387
31,0.020107268933657683,0.49940687947746376,0.05785489082336426
32,0.01893411098179955,0.49940687947746376,0.06291007995605469
33,0.017849680866040437,0.49940687947746376,0.05475306510925293
34,0.016845490371319223,0.49940687947746376,0.06707096099853516
35,0.015914051970366515,0.49940687947746376,0.10227799415588379
36,0.015048737589340866,0.49940687947746376,0.06023097038269043
37,0.014243660585267881,0.49940687947746376,0.05729389190673828
38,0.013493576596957574,0.49940687947746376,0.11592888832092285
39,0.012793799835750031,0.49940687947746376,0.06181764602661133
40,0.012140132079789045,0.49940687947746376,0.06489777565002441
41,0.011528802177136224,0.49940687947746376,0.05887556076049805
42,0.010956414286701207,0.49940687947746376,0.0670158863067627
43,0.010419903419601405,0.49940687947746376,0.059034109115600586
44,0.009916497107982453,,
