x,z
0.0,0.027775892726492953
1.0,-0.007261950046212797
2.0,-0.03803844672554166
3.0,-0.04602572674210438
4.0,0.0019405904965655238
5.0,0.158820544297886
6.0,0.4669328196160092
7.0,0.9342444792257019
8.0,1.5343930128471739
9.0,2.2056137366978237
10.0,2.865776015770779
11.0,3.4301388376053707
12.0,3.8200329718758557
13.0,3.987886785810061
14.0,3.919047138685846
15.0,3.7058981614936886
16.0,3.2297926937693053
17.0,2.635153216264543
18.0,2.0051852925672824
19.0,1.331909190882775
20.0,0.658633089198268
21.0,-0.014643012486239018
22.0,-0.6879191141707464
23.0,-1.3611952158552536
24.0,-2.0344713175397606
25.0,-2.7077474192242685
26.0,-3.3810235209087756
27.0,-4.05429962259328
28.0,-4.727575724277789
