x,z,translation,rotation
0.0,-0.002525860763352962,-1.3589263887456389,-0.6776301241345495
1.0,0.006387798541341429,-1.3589263887456389,-0.6776301241345495
2.0,-0.00021677104822384052,-1.3589263887456389,-0.6776301241345495
3.0,-0.013011600039463549,-1.3589263887456389,-0.6776301241345495
4.0,0.0061347280197728195,-1.3589263887456389,-0.6776301241345495
5.0,0.1288903849360258,-1.3589263887456389,-0.6776301241345495
6.0,0.42707279737620424,-1.3589263887456389,-0.6776301241345495
7.0,0.9181706027742188,-1.3589263887456389,-0.6776301241345495
8.0,1.5568754254510948,-1.3589263887456389,-0.6776301241345495
9.0,2.244329505330745,-1.3589263887456389,-0.6776301241345495
10.0,2.8782064585591,-1.3589263887456389,-0.6776301241345495
11.0,3.3994707463165224,-1.3589263887456389,-0.6776301241345495
12.0,3.7762279966036814,-1.3589263887456389,-0.6776301241345495
13.0,3.9866108616661267,-1.3589263887456389,-0.6776301241345495
14.0,3.985921829655882,-1.3589263887456389,-0.6776301241345495
15.0,3.714453805933883,-1.3589263887456389,-0.6776301241345495
16.0,3.1876226243692796,-1.3589263887456389,-0.6776301241345495
17.0,2.589787618685056,-1.3589263887456389,-0.6776301241345495
18.0,2.0292242319270777,-1.3589263887456389,-0.6776301241345495
19.0,1.3515941077925822,-1.3589263887456389,-0.6776301241345495
20.0,0.6739639836580041,-1.3589263887456389,-0.6776301241345495
21.0,-0.0036661404765292874,-1.3589263887456389,-0.6776301241345495
22.0,-0.6812962646110765,-1.3589263887456389,-0.6776301241345495
23.0,-1.3589263887456422,-1.3589263887456389,-0.6776301241345495
24.0,-2.036556512880184,-1.3589263887456389,-0.6776301241345495
25.0,-2.7141866370147167,-1.3589263887456389,-0.6776301241345495
26.0,-3.391816761149294,-1.3589263887456389,-0.6776301241345495
27.0,-4.06944688528385,-1.3589263887456389,-0.6776301241345495
28.0,-4.7470770094184145,-1.3589263887456389,-0.6776301241345495
