x,z
0.0,-0.0038552534487822365
1.0,-0.025763008721129903
2.0,-0.04101337047630664
3.0,-0.030265490267557503
4.0,0.038681556581971796
5.0,0.21372846991478672
6.0,0.5290825806291097
7.0,0.9899543132713509
8.0,1.5707430224047907
9.0,2.213436424913677
10.0,2.840365170795307
11.0,3.370124221551309
12.0,3.7272136888130305
13.0,3.8649926672366868
14.0,3.768331737266405
15.0,3.517105606343142
16.0,3.057712046602143
17.0,2.519138356813743
18.0,1.9704082327513837
19.0,1.3125151644667623
20.0,0.6546220961821392
21.0,-0.003270972102482894
22.0,-0.6611640403871049
23.0,-1.3190571086717262
24.0,-1.9769501769563482
25.0,-2.63484324524097
26.0,-3.292736313525589
27.0,-3.9506293818102134
28.0,-4.608522450094831
