x,z,translation,rotation
0.0,-0.07510405264663078,-1.3203104750148127,-0.6636549819120463
1.0,-0.08039961838613992,-1.3203104750148127,-0.6636549819120463
2.0,-0.07733434771165584,-1.3203104750148127,-0.6636549819120463
3.0,-0.04418644628496052,-1.3203104750148127,-0.6636549819120463
4.0,0.0512830847128348,-1.3203104750148127,-0.6636549819120463
5.0,0.25212631923025486,-1.3203104750148127,-0.6636549819120463
6.0,0.5858551036001796,-1.3203104750148127,-0.6636549819120463
7.0,1.0553757342358037,-1.3203104750148127,-0.6636549819120463
8.0,1.6356803561953035,-1.3203104750148127,-0.6636549819120463
9.0,2.2716010362124672,-1.3203104750148127,-0.6636549819120463
10.0,2.8886422583859366,-1.3203104750148127,-0.6636549819120463
11.0,3.4077589379117486,-1.3203104750148127,-0.6636549819120463
12.0,3.755448027811591,-1.3203104750148127,-0.6636549819120463
13.0,3.8874725754719575,-1.3203104750148127,-0.6636549819120463
14.0,3.7924381810582464,-1.3203104750148127,-0.6636549819120463
15.0,3.5954497156888037,-1.3203104750148127,-0.6636549819120463
16.0,3.1501058756197606,-1.3203104750148127,-0.6636549819120463
17.0,2.5920127962065465,-1.3203104750148127,-0.6636549819120463
18.0,1.9979644345454193,-1.3203104750148127,-0.6636549819120463
19.0,1.334309452633373,-1.3203104750148127,-0.6636549819120463
20.0,0.6706544707213263,-1.3203104750148127,-0.6636549819120463
21.0,0.006999488809279801,-1.3203104750148127,-0.6636549819120463
22.0,-0.6566554931027664,-1.3203104750148127,-0.6636549819120463
23.0,-1.320310475014813,-1.3203104750148127,-0.6636549819120463
24.0,-1.9839654569268588,-1.3203104750148127,-0.6636549819120463
25.0,-2.6476204388389055,-1.3203104750148127,-0.6636549819120463
26.0,-3.311275420750952,-1.3203104750148127,-0.6636549819120463
27.0,-3.9749304026629977,-1.3203104750148127,-0.6636549819120463
28.0,-4.638585384575045,-1.3203104750148127,-0.6636549819120463
