iteration,objective,step_size
0,175.91916651660034,0.0031056194663200043
1,98.96140195590617,0.011236237229275262
2,90.54144968841467,0.004291860589517355
3,84.66373823400006,0.016994373154903458
4,78.0462225525877,0.003838756842495235
5,73.2580729490638,0.033708712993153686
6,66.09330207707205,0.0031056194663200043
7,61.16849201558882,0.042119365366691836
8,55.52146106595275,0.0031056194663200043
9,50.70430286279841,0.03517498855224119
10,46.80133790747444,0.0031056194663200043
11,43.41959323378363,0.04257246889073733
12,39.495112566234575,0.0031056194663200043
13,36.111128876704676,0.03517498855224119
14,33.40335726216711,0.0031056194663200043
15,31.02748285907937,0.042119365366691836
16,28.295272240726565,0.0031056194663200043
17,25.963688101914276,0.035628092250979425
18,24.029315113013983,0.0031056194663200043
19,22.351684768169804,0.042119365366691836
20,20.43938326629548,
