element_sizes,shape_w_off,shape,mapping,mass
1.0,0.06084084510803223,0.00011682510375976562,0.0012044906616210938,0.0003879070281982422
0.5,0.3684532642364502,6.270408630371094e-05,0.005798816680908203,0.0010805130004882812
0.25,0.8026571273803711,0.0001494884490966797,0.019260406494140625,0.0029566287994384766
0.1,2.0008974075317383,0.0007009506225585938,0.061575889587402344,0.007879972457885742
0.05,8.855767488479614,0.003760099411010742,0.23883461952209473,0.03350210189819336
0.025,14.327714204788208,0.013573408126831055,0.920461893081665,0.11067318916320801
0.02,26.39607882499695,0.021324872970581055,1.4388971328735352,0.16457223892211914
0.015,46.0215380191803,0.03834700584411621,2.5351927280426025,0.2896456718444824
0.01,104.29163908958435,0.08485126495361328,5.677525520324707,0.6719448566436768
0.0075,219.769145488739,0.1445157527923584,9.961692810058594,1.1700494289398193
0.005,659.4933037757874,0.31432366371154785,22.36970806121826,2.5860912799835205
0.004,1186.408640384674,0.4881174564361572,34.507765769958496,4.009512424468994
