element_sizes,shape_w_off,shape,mapping,mass
1.0,0.04730391502380371,0.0001125335693359375,0.001216888427734375,0.000362396240234375
0.5,0.15558195114135742,6.031990051269531e-05,0.0057506561279296875,0.0010585784912109375
0.25,1.3535330295562744,0.00012087821960449219,0.0191192626953125,0.003034830093383789
0.1,3.529914617538452,0.0007531642913818359,0.062091827392578125,0.007965803146362305
0.05,4.681536674499512,0.0038254261016845703,0.23771929740905762,0.03257584571838379
0.025,13.600433111190796,0.013808488845825195,0.917985200881958,0.11335492134094238
0.02,29.39973282814026,0.021611690521240234,1.4206678867340088,0.16531729698181152
0.015,44.09332585334778,0.03814435005187988,2.553359031677246,0.2887711524963379
0.01,95.81255388259888,0.08556437492370605,5.645035982131958,0.6809267997741699
0.0075,200.96601581573486,0.14494585990905762,9.999248027801514,1.171987533569336
0.005,633.0361545085907,0.3124666213989258,22.254996299743652,2.5740530490875244
0.004,1183.0474371910095,0.4907515048980713,34.9619927406311,4.033624887466431
