iteration,objective,step_size,scaling_calc_time
0,101.08585,0.49940687947746376,0.06791996955871582
1,25.314977603515047,0.49940687947746376,0.05948901176452637
2,5.788543733828555,0.49940687947746376,0.06258273124694824
3,1.4078682896320058,0.49940687947746376,0.06552982330322266
4,0.3935717235919785,0.49940687947746376,0.05525517463684082
5,0.1398756581709448,0.49940687947746376,0.0562589168548584
6,0.0670399291398836,0.49940687947746376,0.047396183013916016
7,0.04085443987139144,0.49940687947746376,0.047341346740722656
8,0.028519496377576187,0.49940687947746376,0.049985647201538086
9,0.021294478968073585,0.49940687947746376,0.04898571968078613
10,0.016483249653824333,0.49940687947746376,0.0624387264251709
11,0.013057816770692152,0.49940687947746376,0.05195474624633789
12,0.010526692490888853,0.49940687947746376,0.04670572280883789
13,0.008610523821270562,,
